int,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,frac,km2,m,frac,frac,MCM,MCM,1-100,1-100,1-100,1-100,1-100,frac,frac,frac,Frac,frac,frac,fact,fact
WatProvID,RES_INIT,GWT_INIT,GWT_RECH,INFORMAL,RES_FLO,RES_MAX,GWT_MAX,ENV_FRAC,DOM_CONS_F,DOM_REU,IRR_REU,IND_CONS_F,IND_REU,ENV_USE,AREA_WP,HP_ELV,HP_FAC,HP_EFF,RES_extra,DESAL,DOM_PRI,IND_PRI,IRR_PRI,ENV_PRI,DWN_PRI,IRR_CONS_F,URB_DEM,IND_DEM,IRR_AREA,Ext_User,DWN_DEM,Calibration,IRR_COR
66,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,8029.63,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0
67,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,11427.7,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
68,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,55893.5,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
69,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,6086.33,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
70,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,436437,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
71,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,137473,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.153896
72,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,165540,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.14203175
73,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,18563.3,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
74,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,253812,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.1
75,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,29932.6,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
76,0.8,0.7,0.05,0,0.2,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,25905,50,1,0.75,0,-999,99,99,99,99,99,0.71,1,1,1,0,0,1.02,0.31194625
77,0.8,0.7,0.05,0,0.0107,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,36014.4,50,1,0.75,0,-999,99,99,99,99,99,0.71,1,1,1,0,0,1.02,1.6648175
78,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,9060.7,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.568462
79,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,16560,50,1,0.75,0,-999,99,99,99,99,99,0.71,1,1,1,0,0,1.02,0
80,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,106680,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
81,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,9977.17,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
82,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,193889,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
83,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,70105.1,50,1,0.75,0,0,99,99,99,99,99,0.82,1,1,1,0,0,1.02,0.45164775
84,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,18399.4,50,1,0.75,0,-999,99,99,99,99,99,0.82,1,1,1,0,0,1.02,4.7056275
85,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,81623.4,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,4.0796925
86,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,16872.6,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
87,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,36424.5,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,4.3957725
88,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,11370.7,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
89,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,124781,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,4.6949725
90,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,105332,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,10
91,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,72186.8,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
92,0.8,0.7,0.05,0,0.263,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,34164,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,4.3876875
93,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,137303,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
94,0.8,0.7,0.05,0,0.2841,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,142130,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,3.7864525
95,0.8,0.7,0.05,0,0.3705,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,19986.4,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,1.92495
96,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,808.478,50,1,0.75,0,0,99,99,99,99,99,1,1,1,1,0,0,1.02,0
97,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,7530.97,50,1,0.75,0,0,99,99,99,99,99,0.9,1,1,1,0,0,1.02,0.593054
98,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,21795.7,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.8310315
99,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,47439.3,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
100,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,6752.74,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.1
101,0.8,0.7,0.05,0,0.0011,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,89347.8,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,3.0951525
102,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,7890.66,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,9.98573
103,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,88169.6,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.1
104,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,16127.9,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.20741875
105,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,72712.2,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
106,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,133984,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
107,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,152930,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,1.8326025
108,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,19856.4,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,1.079555
109,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,106396,50,1,0.75,0,0,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0.421449
110,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,3807.8,50,1,0.75,0,0,99,99,99,99,99,1,1,1,1,0,0,1.02,0
111,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,14586.3,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
112,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,119192,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,8.249215
113,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,49673.3,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,2.9405975
114,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,8396.64,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
115,0.8,0.7,0.05,0,0,0.1,0.05,0.2,0.8,0.5,0.2,0.8,0.5,0,14247.1,50,1,0.75,0,-999,99,99,99,99,99,0.7,1,1,1,0,0,1.02,0
